Dimension (n),Insertion Sort,Merge Sort,Hybrid Sort,Quick Sort,Median of Three Quick Sort,Tail Recursive Quick Sort
433,26.200000,26.630000,12.750000,17.170000,17.930000,17.050000
434,25.960000,26.970000,12.780000,17.180000,17.430000,17.850000
435,26.340000,26.750000,13.160000,17.120000,17.550000,17.190000
436,26.580000,27.210000,12.900000,17.270000,17.530000,17.160000
437,26.340000,27.290000,12.920000,17.160000,17.660000,17.770000
438,26.530000,27.010000,12.990000,17.550000,17.670000,17.470000
439,27.600000,27.300000,13.010000,17.730000,17.640000,17.250000
440,27.400000,27.510000,13.050000,17.310000,17.670000,17.650000
441,26.670000,27.270000,13.370000,17.600000,17.930000,18.230000
442,27.250000,27.310000,13.470000,17.390000,18.070000,17.550000
443,27.620000,27.670000,13.560000,17.530000,17.850000,17.440000
444,27.060000,27.310000,13.830000,17.470000,17.840000,17.420000
445,27.200000,27.520000,13.990000,17.550000,18.010000,17.480000
446,27.230000,27.360000,13.380000,17.660000,17.990000,17.590000
447,27.430000,27.380000,13.360000,17.760000,18.350000,17.650000
448,27.840000,27.630000,13.570000,17.760000,18.150000,17.680000
449,28.070000,28.040000,13.710000,17.770000,18.530000,17.580000
450,28.070000,28.020000,13.580000,17.830000,18.310000,17.700000
451,27.880000,28.220000,13.960000,17.870000,18.420000,17.940000
452,28.000000,27.780000,13.520000,17.930000,19.140000,18.530000
453,28.030000,27.960000,13.980000,17.910000,18.420000,18.170000
454,28.520000,27.990000,14.160000,18.020000,18.360000,18.400000
455,28.230000,27.940000,13.730000,18.070000,18.350000,18.180000
456,28.850000,28.090000,13.730000,18.210000,18.450000,18.060000
457,28.610000,28.480000,13.810000,18.190000,18.520000,18.230000
458,28.780000,28.300000,13.770000,18.130000,18.640000,18.150000
459,28.880000,28.720000,13.750000,18.550000,18.590000,18.240000
460,29.040000,28.330000,14.050000,18.620000,18.940000,18.690000
461,29.080000,28.370000,14.520000,18.250000,18.610000,18.280000
462,29.080000,28.420000,13.990000,18.430000,18.780000,18.410000
463,29.270000,28.470000,14.050000,18.430000,19.030000,18.510000
464,29.360000,28.660000,14.100000,18.480000,18.750000,18.380000
465,29.670000,29.080000,14.180000,18.830000,18.890000,18.820000
466,29.670000,29.270000,14.120000,18.660000,18.910000,18.680000
467,29.690000,28.880000,14.510000,18.520000,18.990000,18.590000
468,29.890000,28.980000,14.350000,18.520000,19.050000,18.710000
469,30.060000,29.010000,14.310000,18.570000,18.990000,18.590000
470,29.860000,29.470000,14.300000,18.850000,19.100000,18.900000
471,30.000000,29.490000,14.370000,18.730000,19.280000,19.030000
472,30.270000,29.590000,14.380000,18.840000,19.460000,19.070000
473,30.880000,29.180000,14.510000,18.920000,19.560000,18.970000
474,30.790000,29.360000,14.550000,19.890000,19.610000,18.930000
475,30.760000,29.450000,14.620000,19.040000,19.320000,18.940000
476,31.270000,29.450000,14.760000,19.270000,19.430000,18.900000
477,30.790000,30.020000,14.630000,18.960000,20.080000,18.890000
478,31.230000,30.320000,14.970000,19.070000,19.500000,19.050000
479,31.290000,29.690000,14.780000,19.430000,19.440000,19.080000
480,31.350000,30.120000,14.810000,19.650000,19.540000,19.170000
481,31.700000,30.140000,14.830000,20.230000,19.540000,19.100000
482,31.320000,29.900000,15.700000,19.330000,19.730000,19.050000
483,31.640000,29.820000,15.720000,19.530000,19.570000,19.180000
484,32.180000,29.990000,15.030000,19.270000,19.640000,19.260000
485,32.100000,30.230000,15.060000,20.010000,19.840000,19.440000
486,32.120000,30.870000,15.120000,19.480000,20.270000,19.560000
487,32.480000,30.130000,15.020000,19.470000,20.070000,19.380000
488,32.380000,30.900000,15.130000,19.410000,20.370000,19.460000
489,32.410000,30.650000,15.160000,19.590000,19.850000,19.470000
490,32.370000,30.770000,15.310000,19.740000,19.910000,20.930000
491,32.740000,30.540000,15.530000,19.690000,20.090000,20.150000
492,32.740000,30.290000,15.310000,19.890000,20.440000,19.710000
493,33.210000,30.840000,16.220000,19.820000,20.070000,19.890000
494,33.030000,30.990000,16.200000,20.190000,20.570000,19.720000
495,33.620000,30.610000,15.440000,19.870000,20.350000,19.740000
496,33.580000,30.740000,15.910000,20.440000,20.290000,20.000000
497,33.610000,31.380000,15.610000,19.870000,20.220000,19.870000
498,33.920000,30.870000,15.610000,20.370000,20.340000,19.990000
499,34.470000,32.250000,15.630000,20.000000,20.360000,19.980000
500,34.600000,30.910000,15.910000,20.040000,20.370000,20.370000
501,34.360000,31.030000,15.790000,20.460000,20.500000,20.840000
502,34.190000,31.040000,15.990000,20.330000,20.460000,20.730000
503,34.360000,31.050000,15.820000,20.250000,20.440000,20.480000
504,34.360000,31.130000,16.340000,20.350000,20.560000,20.940000
505,34.560000,31.180000,16.590000,20.260000,20.630000,20.400000
506,34.540000,31.380000,16.030000,20.640000,21.010000,23.000000
507,35.070000,31.790000,15.970000,20.510000,20.820000,20.410000
508,34.860000,32.160000,16.280000,20.420000,21.090000,20.380000
509,34.900000,31.640000,16.190000,20.500000,20.940000,20.370000
510,35.340000,32.210000,16.130000,20.450000,21.060000,20.590000
511,35.270000,32.430000,16.230000,20.650000,20.950000,20.520000
512,35.530000,31.750000,16.400000,21.350000,21.390000,20.600000
513,36.800000,31.700000,16.260000,20.700000,21.280000,20.570000
514,35.690000,31.830000,16.670000,20.730000,21.090000,20.610000
515,36.350000,32.250000,16.420000,20.680000,21.550000,20.610000
516,36.320000,32.290000,16.910000,20.770000,21.190000,20.950000
517,36.350000,31.990000,16.500000,20.910000,21.220000,21.340000
518,36.560000,32.120000,16.650000,20.900000,21.990000,20.870000
519,36.440000,32.140000,16.610000,20.880000,21.280000,21.330000
520,36.550000,33.030000,16.690000,20.890000,21.370000,20.860000
521,38.510000,32.820000,16.750000,21.130000,21.400000,21.130000
522,37.880000,32.400000,16.750000,21.100000,21.460000,21.040000
523,36.870000,33.330000,18.390000,22.040000,21.910000,21.020000
524,38.130000,32.710000,16.860000,21.230000,22.520000,21.400000
525,37.410000,33.360000,16.940000,21.290000,22.290000,21.220000
526,37.370000,33.450000,17.020000,22.160000,21.690000,21.810000
527,37.400000,33.090000,17.210000,21.710000,21.750000,21.320000
528,37.840000,32.770000,17.400000,21.620000,21.610000,22.070000
529,37.620000,32.810000,17.140000,21.420000,21.840000,21.540000
530,37.770000,32.950000,17.200000,21.450000,21.830000,21.550000
531,38.030000,33.400000,17.270000,21.500000,23.270000,21.410000
532,37.940000,33.070000,17.210000,22.570000,21.860000,21.640000
533,38.310000,33.680000,17.740000,21.540000,22.060000,21.660000
534,38.830000,33.230000,17.300000,21.450000,22.010000,21.810000
535,38.630000,33.200000,17.430000,21.690000,22.010000,21.950000
536,38.570000,33.810000,17.410000,21.700000,22.100000,21.720000
537,40.540000,33.420000,17.480000,21.640000,22.040000,21.730000
538,39.420000,33.520000,17.550000,21.840000,22.260000,22.130000
539,39.000000,33.770000,17.540000,21.890000,22.160000,22.240000
540,39.210000,34.010000,17.580000,21.880000,22.760000,21.920000
541,39.460000,34.050000,17.930000,22.830000,22.760000,22.050000
542,39.770000,33.710000,18.190000,22.050000,22.430000,22.140000
543,39.510000,33.930000,17.790000,22.090000,22.450000,22.380000
544,39.880000,34.220000,18.000000,22.180000,22.390000,22.370000
545,40.160000,34.720000,18.300000,22.070000,22.610000,22.020000
546,39.890000,34.080000,18.220000,22.960000,22.680000,22.190000
547,40.250000,34.180000,18.020000,22.690000,22.540000,22.210000
548,40.710000,34.800000,18.120000,22.620000,23.010000,22.430000
549,40.380000,34.220000,18.140000,22.270000,22.600000,22.640000
550,40.530000,34.520000,18.490000,22.350000,23.100000,22.270000
551,40.580000,34.460000,18.210000,22.380000,22.630000,22.330000
552,41.740000,34.590000,18.300000,22.570000,23.030000,22.460000
553,40.970000,34.450000,18.300000,23.000000,22.870000,22.440000
554,41.290000,34.640000,18.410000,22.930000,22.940000,22.960000
555,41.140000,34.970000,18.570000,22.590000,22.950000,22.650000
556,41.660000,34.720000,18.400000,22.800000,23.080000,22.480000
557,41.960000,35.170000,18.970000,22.810000,23.020000,22.600000
558,42.120000,35.940000,18.520000,22.740000,23.280000,22.790000
559,41.710000,35.290000,18.510000,22.680000,23.140000,22.750000
560,41.850000,35.220000,18.680000,22.860000,23.180000,22.890000
561,42.360000,34.930000,18.720000,22.860000,23.190000,22.690000
562,42.580000,35.190000,18.720000,23.010000,23.400000,23.110000
563,42.640000,35.160000,19.060000,23.120000,23.760000,23.050000
564,42.840000,35.290000,18.740000,23.320000,23.720000,22.870000
565,43.360000,35.790000,18.840000,22.940000,23.830000,22.890000
566,43.280000,35.840000,18.910000,23.060000,23.440000,23.370000
567,43.000000,35.500000,19.380000,23.270000,23.660000,23.180000
568,43.530000,35.540000,18.910000,23.530000,23.960000,23.170000
569,43.580000,35.560000,19.510000,23.700000,23.640000,23.640000
570,43.920000,36.080000,19.060000,23.260000,23.780000,23.250000
571,43.910000,36.070000,19.280000,23.290000,24.110000,23.480000
572,43.940000,35.630000,19.580000,23.450000,23.700000,23.420000
573,44.640000,35.950000,19.350000,23.380000,23.820000,23.370000
574,44.640000,35.920000,19.390000,23.560000,23.850000,23.830000
575,44.260000,36.010000,19.460000,23.540000,24.590000,23.590000
576,44.250000,36.180000,19.830000,23.770000,23.900000,23.500000
577,44.470000,36.340000,19.540000,23.660000,24.020000,23.760000
578,45.160000,36.590000,19.650000,24.040000,24.050000,23.620000
579,45.190000,36.140000,19.560000,23.790000,24.110000,24.440000
580,45.100000,36.740000,19.760000,24.170000,24.590000,23.850000
581,45.570000,36.930000,20.070000,23.930000,24.380000,23.980000
582,45.100000,36.440000,19.920000,23.900000,24.300000,23.850000
583,47.650000,36.850000,19.800000,24.250000,24.230000,23.770000
584,45.580000,36.590000,19.900000,24.350000,24.280000,24.030000
585,45.640000,37.000000,20.350000,24.250000,24.280000,24.000000
586,45.980000,36.850000,20.420000,24.560000,24.440000,23.970000
587,45.920000,36.900000,19.910000,26.230000,24.440000,24.070000
588,46.040000,37.310000,20.410000,24.210000,24.560000,24.160000
589,46.650000,37.080000,20.120000,24.220000,24.690000,24.070000
590,46.700000,37.190000,20.200000,24.410000,24.930000,24.260000
591,47.300000,37.360000,20.490000,25.250000,25.080000,24.190000
592,47.290000,37.610000,20.270000,24.390000,25.370000,24.320000
593,47.860000,37.590000,20.320000,24.460000,24.790000,24.580000
594,46.980000,37.360000,20.320000,24.450000,24.840000,24.390000
595,47.040000,37.810000,20.400000,24.660000,24.800000,24.430000
596,47.660000,37.920000,20.650000,24.920000,25.190000,24.460000
597,47.490000,37.940000,20.400000,24.650000,25.010000,24.550000
598,47.890000,37.740000,20.950000,24.600000,24.970000,24.910000
599,47.600000,37.850000,20.570000,24.650000,24.940000,24.650000
600,47.960000,37.890000,21.090000,24.730000,24.990000,24.950000
601,48.400000,38.090000,20.810000,24.950000,25.180000,24.710000
602,48.530000,38.240000,21.120000,25.260000,25.290000,25.160000
603,49.390000,38.090000,20.870000,24.920000,25.490000,24.800000
604,48.630000,38.130000,21.130000,25.270000,25.300000,24.870000
605,48.960000,38.620000,21.270000,25.540000,25.380000,24.890000
606,48.850000,38.270000,21.020000,25.280000,25.400000,24.960000
607,49.040000,38.340000,20.970000,25.060000,25.380000,25.310000
608,49.430000,38.930000,21.270000,25.110000,25.360000,25.180000
609,49.340000,38.790000,21.470000,25.140000,25.920000,25.460000
610,49.780000,38.860000,21.250000,25.160000,25.700000,25.240000
611,50.160000,39.050000,21.180000,25.340000,25.500000,25.300000
612,49.870000,38.940000,21.280000,25.360000,25.770000,25.600000
613,50.200000,38.910000,21.360000,25.230000,25.670000,25.220000
614,50.190000,38.830000,21.950000,25.530000,25.720000,25.580000
615,50.630000,39.250000,21.500000,25.480000,26.040000,25.340000
616,50.530000,38.840000,21.930000,25.480000,25.790000,25.460000
617,51.270000,38.720000,21.510000,25.900000,26.240000,25.900000
618,51.110000,38.950000,21.550000,25.470000,26.080000,25.470000
619,50.740000,39.520000,21.830000,25.600000,26.340000,26.070000
620,52.160000,39.400000,21.810000,26.030000,26.080000,25.970000
621,51.350000,40.170000,21.840000,26.390000,26.870000,26.050000
622,51.710000,39.630000,21.770000,25.800000,26.420000,25.640000
623,51.440000,39.780000,21.840000,26.250000,26.490000,26.060000
624,51.650000,39.920000,21.930000,26.450000,26.250000,25.910000
625,51.770000,39.770000,22.180000,25.870000,26.580000,25.750000
626,52.120000,39.660000,22.480000,25.960000,26.400000,25.820000
627,52.180000,39.930000,22.450000,26.190000,26.410000,26.650000
628,52.690000,39.900000,22.420000,26.180000,26.660000,26.260000
629,52.340000,39.790000,22.190000,26.140000,26.460000,26.020000
630,52.900000,40.080000,22.690000,26.110000,26.580000,26.080000
631,52.850000,39.610000,22.160000,26.240000,27.050000,26.250000
632,52.750000,40.130000,22.600000,26.460000,26.550000,26.510000
633,53.310000,40.190000,22.380000,26.340000,27.030000,27.670000
634,53.670000,40.150000,22.840000,26.200000,27.140000,26.180000
635,53.770000,40.510000,22.870000,26.660000,26.520000,26.390000
636,53.490000,39.970000,22.620000,26.430000,26.770000,27.440000
637,53.640000,40.440000,22.720000,26.820000,26.890000,26.580000
638,54.330000,40.250000,22.890000,26.500000,26.930000,26.380000
639,54.340000,40.100000,23.330000,26.590000,27.010000,27.180000
640,54.950000,40.610000,22.900000,27.020000,27.290000,27.070000
641,55.140000,40.760000,23.050000,26.580000,26.940000,26.500000
642,54.610000,40.540000,23.370000,26.710000,27.020000,26.810000
643,55.400000,40.560000,22.920000,27.170000,27.170000,27.300000
644,54.870000,41.300000,23.020000,27.020000,27.140000,27.770000
645,55.220000,41.050000,23.550000,26.900000,27.210000,26.800000
646,55.360000,41.700000,23.490000,26.800000,27.230000,26.820000
647,55.800000,41.470000,23.190000,26.930000,27.490000,26.970000
648,55.630000,40.950000,23.540000,27.010000,27.680000,26.990000
649,56.270000,41.010000,23.760000,27.190000,27.420000,26.950000
650,55.730000,41.130000,23.810000,27.180000,27.540000,27.450000
651,55.910000,41.510000,23.690000,27.070000,27.580000,27.080000
652,56.010000,41.240000,23.430000,27.050000,27.610000,27.130000
653,56.430000,41.940000,23.470000,27.550000,27.550000,27.180000
654,56.630000,42.310000,23.610000,27.840000,27.670000,27.240000
655,56.600000,41.790000,23.560000,27.670000,27.980000,27.180000
656,57.750000,42.490000,23.720000,27.500000,28.360000,27.480000
657,57.710000,41.830000,24.190000,27.730000,28.710000,27.680000
658,57.620000,42.320000,24.250000,27.690000,28.490000,28.330000
659,57.550000,42.140000,24.150000,27.510000,28.310000,27.780000
660,57.480000,42.310000,24.460000,27.680000,28.200000,27.710000
661,58.020000,42.200000,23.990000,27.580000,27.950000,28.130000
662,57.540000,42.010000,24.170000,28.040000,28.420000,27.550000
663,58.880000,42.630000,24.520000,27.760000,28.360000,27.960000
664,58.210000,42.460000,24.050000,27.810000,28.140000,28.100000
665,59.180000,42.880000,24.220000,27.860000,28.230000,27.790000
666,59.020000,42.340000,24.760000,28.000000,28.630000,27.770000
667,59.040000,42.750000,24.770000,28.080000,28.570000,27.770000
668,59.620000,43.000000,24.330000,28.500000,28.310000,27.980000
669,59.190000,42.330000,24.480000,28.490000,28.660000,28.200000
670,59.840000,42.670000,24.900000,28.090000,28.690000,28.010000
671,60.080000,42.880000,24.520000,28.410000,29.040000,28.040000
672,59.980000,42.970000,24.910000,28.450000,28.580000,28.390000
673,60.340000,43.110000,27.420000,28.330000,28.470000,28.460000
674,61.360000,42.740000,24.810000,28.210000,28.590000,28.520000
675,60.510000,42.810000,24.910000,28.350000,28.670000,28.700000
676,60.460000,42.750000,24.890000,28.460000,28.530000,28.700000
677,60.350000,42.980000,25.320000,28.430000,28.640000,28.490000
678,60.500000,43.620000,25.440000,28.720000,28.770000,28.890000
679,61.180000,43.320000,25.030000,28.500000,28.840000,28.400000
680,61.460000,43.200000,25.460000,28.640000,29.190000,28.460000
681,61.700000,43.290000,25.380000,28.560000,29.690000,28.880000
682,62.310000,43.810000,25.370000,28.580000,29.690000,28.500000
683,63.210000,43.980000,25.160000,28.600000,29.080000,28.640000
684,62.100000,43.500000,25.340000,28.730000,29.170000,28.610000
685,62.330000,43.840000,25.470000,28.740000,29.080000,28.980000
686,62.400000,43.570000,25.760000,28.860000,29.220000,29.220000
687,62.310000,43.680000,25.750000,28.910000,30.130000,28.940000
688,62.480000,43.630000,26.000000,28.920000,29.460000,29.280000
689,62.440000,43.670000,26.160000,29.330000,29.250000,28.860000
690,63.150000,44.230000,25.640000,29.210000,29.560000,29.170000
691,63.460000,44.740000,25.890000,29.130000,29.440000,29.160000
692,63.220000,44.740000,26.500000,29.560000,29.260000,29.050000
693,66.270000,46.090000,25.710000,29.350000,29.370000,28.940000
694,63.370000,44.160000,25.900000,29.750000,29.600000,29.350000
695,63.900000,45.650000,26.190000,29.630000,29.940000,29.240000
696,63.750000,44.020000,26.030000,29.740000,29.640000,29.240000
697,64.290000,43.990000,26.610000,29.340000,29.890000,29.660000
698,64.030000,44.250000,26.290000,29.310000,31.140000,29.360000
699,65.370000,44.360000,26.810000,29.370000,31.190000,29.380000
700,64.660000,44.440000,26.740000,29.890000,30.350000,29.990000
701,64.620000,44.430000,26.370000,29.560000,30.220000,29.550000
702,65.500000,45.000000,26.610000,30.020000,30.400000,29.570000
703,65.300000,45.180000,26.460000,30.050000,29.980000,29.640000
704,65.690000,44.550000,26.440000,29.910000,30.360000,31.310000
705,65.560000,45.170000,27.080000,29.700000,30.150000,29.990000
706,66.890000,45.140000,26.700000,30.260000,30.130000,30.370000
707,66.280000,44.880000,26.890000,30.120000,30.900000,30.150000
708,67.160000,45.040000,27.100000,29.950000,32.030000,29.760000
709,66.730000,45.190000,28.240000,31.370000,30.720000,30.310000
710,66.870000,45.590000,26.720000,30.730000,30.360000,30.670000
711,67.790000,46.010000,27.470000,30.140000,30.350000,29.960000
712,67.010000,45.210000,27.160000,30.270000,30.650000,30.070000
713,67.670000,45.720000,27.220000,30.320000,30.850000,30.220000
714,68.430000,45.980000,27.010000,30.230000,30.690000,30.080000
715,67.750000,45.930000,27.000000,30.290000,30.770000,30.340000
716,68.410000,46.710000,27.480000,31.060000,30.650000,30.400000
717,67.460000,45.730000,28.080000,30.280000,30.980000,30.670000
718,68.430000,45.770000,27.680000,30.360000,31.090000,30.140000
719,68.210000,46.530000,27.700000,30.800000,31.320000,30.550000
720,68.990000,46.050000,27.840000,31.010000,31.210000,31.350000
721,68.130000,47.140000,29.710000,30.580000,30.870000,30.410000
722,68.680000,46.190000,27.670000,30.890000,30.920000,30.420000
723,69.160000,47.190000,27.820000,30.670000,32.030000,30.590000
724,69.180000,46.690000,27.670000,30.600000,31.670000,30.590000
725,69.390000,47.620000,27.610000,31.060000,31.130000,31.120000
726,69.760000,46.880000,28.980000,30.700000,31.120000,30.620000
727,69.980000,46.510000,28.120000,30.700000,31.370000,31.130000
728,70.010000,46.880000,27.900000,30.840000,31.660000,30.860000
729,70.360000,47.390000,27.940000,31.130000,31.630000,32.060000
730,69.900000,47.830000,28.500000,30.820000,31.320000,31.250000
731,70.670000,47.160000,28.650000,31.110000,31.470000,31.040000
732,70.370000,47.430000,28.200000,31.210000,31.460000,31.340000
733,70.620000,49.180000,28.390000,31.500000,31.770000,31.510000
734,71.410000,47.620000,28.610000,31.300000,32.150000,31.810000
735,71.080000,47.640000,28.260000,31.460000,31.990000,31.850000
736,72.170000,47.780000,29.240000,31.050000,31.460000,31.420000
737,72.870000,47.940000,28.390000,31.190000,31.760000,31.130000
738,71.940000,47.340000,28.510000,31.550000,32.880000,33.250000
739,71.830000,47.860000,29.220000,31.360000,32.350000,31.480000
740,71.990000,47.360000,28.990000,31.360000,32.300000,31.700000
741,71.700000,47.330000,28.810000,31.580000,32.150000,31.840000
742,72.640000,49.320000,28.820000,31.560000,32.510000,31.590000
743,72.550000,48.430000,28.800000,31.850000,32.290000,31.520000
744,74.230000,47.620000,29.480000,31.670000,31.970000,31.650000
745,72.970000,47.640000,28.810000,33.010000,31.960000,31.990000
746,73.950000,47.850000,28.920000,31.870000,32.190000,31.710000
747,73.180000,47.910000,30.530000,31.730000,32.390000,31.670000
748,75.000000,48.300000,29.090000,32.540000,32.130000,31.770000
749,73.580000,48.260000,29.800000,32.150000,32.790000,31.810000
750,74.190000,48.040000,29.640000,32.060000,32.730000,33.040000
751,74.470000,48.740000,30.660000,32.050000,32.180000,32.020000
752,73.980000,49.240000,29.680000,31.960000,32.360000,31.870000
753,74.870000,49.220000,29.840000,32.020000,32.370000,32.010000
754,74.520000,48.720000,29.510000,32.130000,33.220000,32.130000
755,74.770000,48.740000,29.730000,32.580000,32.530000,32.860000
756,75.190000,48.680000,29.890000,32.160000,32.770000,32.000000
757,75.950000,48.910000,29.930000,32.170000,32.480000,32.330000
758,75.740000,48.590000,30.370000,32.240000,32.730000,32.260000
759,76.730000,48.970000,29.830000,33.570000,32.740000,32.590000
760,76.660000,48.990000,30.120000,32.530000,33.860000,32.450000
761,76.490000,49.560000,29.840000,32.580000,32.750000,32.740000
762,76.120000,48.740000,30.010000,32.430000,32.880000,32.240000
763,76.200000,49.480000,30.220000,32.970000,32.890000,33.610000
764,76.750000,49.460000,30.610000,32.820000,33.870000,33.040000
765,76.760000,49.310000,30.120000,32.520000,32.980000,32.870000
766,77.040000,49.480000,30.230000,32.960000,33.420000,32.740000
767,78.000000,49.490000,30.280000,32.960000,33.130000,32.750000
768,78.080000,49.140000,30.320000,32.710000,33.620000,33.010000
769,77.210000,49.520000,30.400000,33.290000,33.240000,32.890000
770,78.150000,49.980000,31.340000,32.880000,33.100000,32.860000
771,77.730000,50.000000,30.440000,32.880000,33.330000,32.760000
772,79.220000,49.520000,30.810000,32.910000,33.680000,33.190000
773,78.790000,49.440000,30.810000,33.100000,33.880000,33.530000
774,78.340000,50.030000,30.780000,33.410000,34.450000,32.940000
775,78.950000,50.280000,30.820000,33.530000,33.470000,33.440000
776,78.400000,50.520000,30.740000,33.210000,33.550000,33.240000
777,79.490000,50.550000,30.940000,33.160000,33.600000,33.780000
778,80.440000,50.740000,31.340000,33.900000,33.470000,33.350000
779,80.480000,50.660000,31.430000,33.260000,34.070000,33.490000
780,79.850000,50.550000,31.130000,33.530000,33.700000,33.880000
781,80.050000,50.750000,31.350000,33.500000,33.920000,33.420000
782,81.160000,50.440000,31.310000,33.790000,33.900000,33.460000
783,80.690000,51.110000,31.230000,33.930000,33.940000,33.990000
784,80.390000,50.500000,31.500000,33.700000,34.560000,33.640000
785,80.760000,51.920000,31.330000,34.130000,33.850000,33.580000
786,80.910000,51.120000,31.740000,33.670000,34.030000,33.640000
787,81.860000,51.760000,32.110000,34.210000,34.340000,33.680000
788,81.360000,51.290000,31.480000,34.370000,34.290000,33.730000
789,82.330000,51.080000,31.570000,34.140000,34.510000,33.740000
790,82.060000,51.710000,31.720000,34.390000,34.660000,34.510000
791,81.960000,51.820000,31.730000,33.920000,34.500000,33.810000
792,82.530000,52.210000,31.960000,34.200000,34.210000,33.920000
793,82.750000,51.420000,32.000000,34.410000,34.420000,34.290000
794,82.570000,51.490000,32.020000,34.110000,34.680000,33.830000
795,82.980000,52.390000,35.900000,35.140000,35.000000,34.130000
796,82.890000,52.410000,32.390000,35.200000,34.850000,34.360000
797,83.320000,52.330000,32.220000,34.180000,34.660000,34.150000
798,83.470000,52.540000,32.630000,34.210000,34.970000,34.110000
799,83.590000,52.130000,32.300000,34.730000,34.720000,34.630000
800,83.960000,51.950000,32.930000,34.430000,34.690000,34.430000
801,84.700000,51.990000,31.300000,34.340000,35.480000,34.490000
802,85.060000,52.940000,29.290000,34.570000,35.440000,34.600000
803,84.350000,52.640000,27.420000,34.900000,34.780000,36.500000
804,84.700000,52.190000,26.230000,34.650000,35.360000,34.480000
805,85.570000,52.670000,27.020000,34.640000,35.560000,34.820000
806,85.770000,52.440000,25.940000,35.040000,34.900000,35.690000
807,86.370000,53.020000,25.930000,34.890000,34.850000,34.820000
808,85.190000,52.220000,26.280000,34.700000,35.470000,34.660000
809,86.790000,53.520000,26.030000,35.100000,35.080000,35.930000
810,86.060000,52.690000,26.140000,35.550000,35.120000,34.820000
811,86.200000,52.850000,27.110000,34.900000,35.680000,34.770000
812,86.090000,53.440000,26.090000,34.920000,35.790000,35.210000
813,85.920000,53.430000,26.160000,35.190000,35.420000,36.020000
814,86.030000,52.490000,26.620000,36.110000,35.330000,35.430000
815,87.670000,53.150000,27.290000,35.080000,36.080000,35.120000
816,87.160000,53.960000,26.420000,35.200000,35.840000,35.320000
817,87.140000,53.830000,26.470000,35.470000,35.820000,35.780000
818,87.560000,53.190000,26.880000,35.500000,36.410000,35.430000
819,88.270000,53.520000,26.940000,35.360000,36.150000,35.360000
820,87.610000,53.760000,26.950000,35.660000,35.820000,35.290000
821,88.340000,54.090000,26.600000,35.980000,35.880000,35.260000
822,90.500000,53.350000,27.340000,35.440000,36.270000,35.390000
823,88.850000,53.550000,27.090000,35.550000,36.090000,35.570000
824,88.590000,53.820000,26.720000,35.580000,35.840000,36.410000
825,89.150000,53.750000,26.750000,35.700000,35.890000,36.390000
826,88.510000,53.670000,27.210000,36.980000,36.260000,36.860000
827,89.550000,54.460000,26.880000,35.700000,35.950000,35.660000
828,89.990000,53.320000,28.340000,35.880000,36.680000,35.540000
829,89.440000,54.360000,27.060000,35.730000,36.160000,36.070000
830,90.180000,55.400000,26.870000,36.580000,36.270000,36.070000
831,90.370000,54.880000,27.090000,36.870000,36.260000,37.330000
832,90.780000,53.890000,27.410000,36.090000,36.650000,37.050000
833,90.330000,54.270000,26.980000,36.550000,36.250000,35.860000
834,91.070000,54.400000,27.250000,35.990000,36.310000,35.910000
835,90.740000,53.900000,27.430000,35.940000,37.200000,36.250000
836,92.050000,54.150000,27.720000,36.140000,37.300000,36.100000
837,92.130000,54.810000,27.680000,36.490000,37.120000,36.080000
838,90.990000,54.360000,27.780000,36.280000,37.260000,36.120000
839,92.710000,54.700000,27.460000,36.740000,36.870000,36.730000
840,92.410000,56.040000,27.320000,36.850000,36.780000,37.320000
841,93.040000,55.260000,27.510000,36.990000,36.710000,37.060000
842,93.210000,54.860000,27.830000,37.430000,37.490000,36.920000
843,93.490000,55.520000,28.010000,37.150000,37.110000,36.970000
844,92.970000,55.780000,27.630000,36.610000,36.850000,37.190000
845,93.140000,55.730000,27.940000,36.760000,37.320000,37.790000
846,93.410000,54.910000,29.130000,36.730000,36.980000,36.540000
847,94.290000,55.090000,28.120000,36.770000,37.900000,37.040000
848,95.010000,55.710000,28.740000,36.750000,39.270000,36.680000
849,94.910000,55.890000,28.150000,36.730000,37.800000,37.120000
850,94.780000,55.810000,28.770000,37.080000,37.960000,37.160000
851,96.390000,55.950000,27.970000,36.930000,37.780000,36.620000
852,94.730000,56.580000,28.920000,37.130000,37.230000,36.800000
853,95.220000,56.290000,27.890000,37.630000,38.460000,39.210000
854,94.910000,57.450000,28.110000,37.740000,37.370000,36.960000
855,95.930000,56.180000,28.060000,37.810000,37.350000,37.480000
856,96.480000,56.590000,28.630000,38.940000,37.280000,37.160000
857,95.990000,56.730000,28.920000,37.880000,37.580000,37.360000
858,96.370000,57.250000,28.210000,37.960000,37.450000,37.130000
859,96.670000,57.980000,28.330000,37.790000,37.440000,37.380000
860,97.120000,56.650000,28.590000,37.600000,38.440000,37.540000
861,97.420000,57.470000,28.870000,37.440000,38.350000,37.530000
862,96.730000,56.560000,28.430000,38.450000,38.750000,37.420000
863,96.730000,57.580000,28.800000,37.750000,38.520000,37.850000
864,97.670000,57.350000,28.890000,37.760000,39.470000,37.270000
865,97.020000,57.480000,28.770000,37.560000,37.760000,38.110000
866,97.570000,56.710000,28.550000,37.720000,37.880000,37.590000
867,97.060000,56.980000,28.630000,49.960000,37.930000,37.750000
